id,date,name,number,firstpro,pro,pronum,signnum,news,firstpar,firstdis
802215,1010427,社會救助法第五條之一條文修正草案,1037委13373,吳宜臻,吳宜臻;林淑芬;蔡其昌;李昆澤 ;鄭麗君 ;吳育仁;陳碧涵,7,15,70,民進黨,不分區立委
802807,1010918,海洋委員會海巡署組織法草案,1603委13761,丁守中,丁守中;吳育仁;林明溱,3,10,2,國民黨,區域立委
802029,1010518,所得稅法第十七條條文修正草案,225委13543,許智傑,許智傑;邱志偉;何欣純;楊曜 ;蘇震清,5,10,867,民進黨,區域立委
800872,1020503,反恐怖行動法草案,委14982,李俊俋,李俊俋;李應元;管碧玲;黃偉哲;邱志偉;陳歐珀,6,11,11,民進黨,區域立委
802467,1020409,毒品危害防制條例第四條及第三十六條條文修正草案,308委14795,陳淑慧,陳淑慧 ;楊玉欣 ;江惠貞 ;王育敏;詹凱臣;林明溱,6,13,62,國民黨,區域立委
802360,1020503,信用合作社法第五條條文修正草案,801委14936,薛凌,薛凌;吳秉叡,2,14,2,民進黨,不分區立委
800286,1010918,中華民國刑法第七十七條條文修正草案,委13803,呂玉玲,呂玉玲;李慶華;林明溱 ;江惠貞,4,14,89,國民黨,區域立委
800733,1010504,公路法第十二條條文修正草案,委13424,管碧玲,管碧玲;蔡其昌;趙天麟;吳秉叡;許添財 ;李昆澤 ;陳亭妃,8,14,68,民進黨,區域立委
804016,1011116,就業保險法第十四條條文修正草案,468委14249,蔣乃辛,蔣乃辛;徐少萍;吳育仁;王育敏;楊玉欣 ;林明溱 ;盧秀燕 ;潘維剛,8,14,3,國民黨,區域立委
802339,1020524,保險法第一百四十六條之二條文修正草案,464委15113,丁守中,丁守中,1,15,606,國民黨,區域立委
802404,1030516,政府採購法增訂第九十六條之一條文草案,1650委16438,丁守中,丁守中,1,15,11,國民黨,區域立委
804478,1021129,電信法增訂第十四條之一條文草案,379委15679,丁守中,丁守中,1,15,16,國民黨,區域立委
800308,1010420,中華民國刑法第二百八十六條條文修正草案,委13300,尤美女,尤美女,1,15,25,民進黨,不分區立委
800882,1010427,少年及家事法院組織法增訂第十九條之一條文草案,委13384,尤美女,尤美女,1,15,8,民進黨,不分區立委
801304,1010518,交通及建設部鐵道局組織法草案,委13592,尤美女,尤美女,1,15,0,民進黨,不分區立委
802386,1040106,律師法修正草案,252委17425,尤美女,尤美女,1,15,2,民進黨,不分區立委
802633,1010316,食品衛生管理法部分條文修正草案,1722委13005,尤美女,尤美女,1,15,1,民進黨,不分區立委
803790,1010420,勞動基準法第七十九條條文修正草案,1121委13301,尤美女,尤美女,1,15,333,民進黨,不分區立委
804032,1010525,提審法第一條條文修正草案,986委13646,尤美女,尤美女,1,15,18,民進黨,不分區立委
804248,1010518,經濟及能源部能源研究所組織法草案,474委13591,尤美女,尤美女,1,15,1,民進黨,不分區立委
804326,1010518,農業部組織法草案,1204委13588,尤美女,尤美女,1,15,21,民進黨,不分區立委
804332,1010518,農業部農村及農田水利署組織法草案,1204委13589,尤美女,尤美女,1,15,0,民進黨,不分區立委
804793,1030502,廢止核能發電條例草案,759委16371,尤美女,尤美女,1,15,431,民進黨,不分區立委
800728,1010918,公路法第二十七條條文修正草案,委13806,王惠美,王惠美,1,15,1,國民黨,區域立委
804309,1021101,農會法部分條文修正草案,959委15381,王惠美,王惠美,1,15,2,國民黨,區域立委
800322,1041030,中華民國刑法第三百二十一條及第三百二十六條條文修正草案,委18041,王進士,王進士,1,15,4,國民黨,區域立委
804381,1040106,道路交通管理處罰條例第八十條條文修正草案,756委17384,王進士,王進士,1,15,113,國民黨,區域立委
800946,1021227,水污染防治法第十六條、第二十二條及第三十四條條文修正草案,委15948,田秋堇,田秋堇,1,15,74,民進黨,不分區立委
801678,1031107,行政罰法第十八條條文修正草案,委17176,田秋堇,田秋堇,1,15,18,民進黨,不分區立委
802859,1030516,消費者保護法第四十九條及第六十條條文修正草案,1450委16404,田秋堇,田秋堇,1,15,190,民進黨,不分區立委
804605,1031003,精神衛生法部分條文修正草案,1503委17029,田秋堇,田秋堇,1,15,1,民進黨,不分區立委
804860,1040925,廢棄物清理法第五條條文修正草案,966委17972,田秋堇,田秋堇,1,15,2,民進黨,不分區立委
805052,1010518,環境資源部組織法草案,1204委13541,田秋堇,田秋堇,1,15,18,民進黨,不分區立委
803755,1040410,勞工退休金條例第二十九條條文修正草案,468委17552,江惠貞,江惠貞,1,15,17,國民黨,區域立委
803768,1041120,勞工退休金條例第二十四條條文修正草案,468委18113,江惠貞,江惠貞,1,15,10,國民黨,區域立委
804400,1030926,道路交通管理處罰條例第三十三條條文修正草案,756委17005,江惠貞,江惠貞,1,15,338,國民黨,區域立委
805314,1020111,獸醫師法部分條文修正草案,33委14621,江惠貞,江惠貞,1,15,9,國民黨,區域立委
800702,1021101,公寓大廈管理條例第二十四條及第二十九條條文修正草案,委15372,何欣純,何欣純,1,15,1,民進黨,區域立委
801050,1021206,幼兒教育及照顧法第十五條及第十九條條文修正草案,委15721,何欣純,何欣純,1,15,102,民進黨,區域立委
801064,1040424,幼兒教育及照顧法部分條文修正草案,委17648,何欣純,何欣純,1,15,12,民進黨,區域立委
801364,1021220,全民健康保險法第三十條條文修正草案,委15889,何欣純,何欣純,1,15,6,民進黨,區域立委
801385,1021220,再生能源發展條例增訂第七條之一條文草案,委15888,何欣純,何欣純,1,15,3,民進黨,區域立委
802276,1020531,金融控股公司法第四十三條及第六十條條文修正草案,801委15166,何欣純,何欣純,1,15,21,民進黨,區域立委
802849,1030912,消費者保護法第十一條之一、第二十二條及第五十一條條文修正草案,1450委16958,何欣純,何欣純,1,15,190,民進黨,區域立委
803054,1021101,動物傳染病防治條例增訂第十八條之一條文草案,1053委15371,何欣純,何欣純,1,15,0,民進黨,區域立委
804470,1020104,電信法第三十二條、第三十三條及第四十六條條文修正草案,379委14602,何欣純,何欣純,1,15,100,民進黨,區域立委
800621,1020924,公務人員退休法第三十一條條文修正草案,委15318,吳育仁,吳育仁,1,15,4,國民黨,不分區立委
801321,1030109,企業併購法第二條及第十七條條文修正草案,委16057,吳育仁,吳育仁,1,15,61,國民黨,不分區立委
803862,1040508,勞動基準法第五十五條條文修正草案,468委17689,吳育仁,吳育仁,1,15,215,國民黨,不分區立委
803929,1040122,勞動檢查法第四條條文修正草案,1611委17477,吳育仁,吳育仁,1,15,11,國民黨,不分區立委
803950,1030109,就業服務法第二十四條條文修正草案,1537委16060,吳育仁,吳育仁,1,15,115,國民黨,不分區立委
801435,1020531,刑事訴訟法第四百二十條條文修正草案,委15310,吳育昇,吳育昇,1,15,474,國民黨,區域立委
800695,1040508,公教人員保險法增訂第四十八條之一條文草案,委17685,吳宜臻,吳宜臻,1,15,21,民進黨,不分區立委
801456,1040612,刑事訴訟法部分條文修正草案,委17941,吳宜臻,吳宜臻,1,15,149,民進黨,不分區立委
802128,1030314,法官法第三十六條條文修正草案,445委16116,吳宜臻,吳宜臻,1,15,57,民進黨,不分區立委
803064,1020524,商品檢驗法第六條條文修正草案,695委15076,吳秉叡,吳秉叡,1,15,0,民進黨,區域立委
804188,1011130,訴願法第二條條文修正草案,830委14346,吳秉叡,吳秉叡,1,15,0,民進黨,區域立委
800900,1040313,文化部組織法第五條條文修正草案,委17509,呂玉玲,呂玉玲,1,15,0,國民黨,區域立委
804420,1020322,道路交通管理處罰條例第五十六條條文修正草案,756委14725,呂玉玲,呂玉玲,1,15,338,國民黨,區域立委
805197,1031219,醫師法第二十八條條文修正草案,214委17320,呂玉玲,呂玉玲,1,15,3,國民黨,區域立委
805439,1040612,警察人員人事條例第三十一條條文修正草案,849委17907,呂玉玲,呂玉玲,1,15,0,國民黨,區域立委
800047,1021220,入出國及移民法第二十一條、第三十五條之一及第六十六條條文修正草案,委15891,李昆澤,李昆澤,1,15,66,民進黨,區域立委
801453,1021220,刑事訴訟法部分條文修正草案,委15892,李昆澤,李昆澤,1,15,73,民進黨,區域立委
803586,1040424,陸海空軍軍官士官服役條例第三十四條條文修正草案,1061委17620,李昆澤,李昆澤,1,15,151,民進黨,區域立委
804903,1020322,衛星廣播電視法第七條、第十三條及第三十八條條文修正草案,1562委14742,李昆澤,李昆澤,1,15,177,民進黨,區域立委
800092,1030530,土地稅法第九條條文修正草案,委16539,李俊俋,李俊俋,1,15,28,民進黨,區域立委
800432,1011221,中華民國總統府組織法第十六條條文修正草案,委14476,李俊俋,李俊俋,1,15,1,民進黨,區域立委
800772,1020111,公職人員選舉罷免法第一條及第一百三十三條條文修正草案,委14626,李俊俋,李俊俋,1,15,280,民進黨,區域立委
801011,1011130,司法院大法官審理案件法第十條條文修正草案,委14311,李俊俋,李俊俋,1,15,37,民進黨,區域立委
801096,1040116,民事訴訟法施行法第十二條條文修正草案,委17458,李俊俋,李俊俋,1,15,44,民進黨,區域立委
801126,1030530,民法第一千一百四十五條條文修正草案,委16899,李俊俋,李俊俋,1,15,0,民進黨,區域立委
801222,1020111,立法委員行為法部分條文修正草案,委14620,李俊俋,李俊俋,1,15,190,民進黨,區域立委
801291,1041120,立法院議事規則第五十七條條文修正草案,委18134,李俊俋,李俊俋,1,15,13,民進黨,區域立委
801474,1011207,地方制度法第八十二條條文修正草案,委14373,李俊俋,李俊俋,1,15,302,民進黨,區域立委
801658,1020924,行政程序法第七十四條條文修正草案,委15332,李俊俋,李俊俋,1,15,7,民進黨,區域立委
801660,1020924,行政程序法第八十三條條文修正草案,委15333,李俊俋,李俊俋,1,15,7,民進黨,區域立委
801661,1020924,行政程序法第八十六條條文修正草案,委15335,李俊俋,李俊俋,1,15,7,民進黨,區域立委
801662,1020924,行政程序法第八十四條條文修正草案,委15334,李俊俋,李俊俋,1,15,7,民進黨,區域立委
801665,1020924,行政程序法第六十八條條文修正草案,委15331,李俊俋,李俊俋,1,15,7,民進黨,區域立委
801670,1020924,行政訴訟法第七十三條條文修正草案,委15330,李俊俋,李俊俋,1,15,44,民進黨,區域立委
802389,1011221,律師法第三條條文修正草案,252委14477,李俊俋,李俊俋,1,15,0,民進黨,區域立委
802906,1011228,破產法第十一條及第一百十七條條文修正草案,1066委14534,李俊俋,李俊俋,1,15,3,民進黨,區域立委
803407,1030926,票據法第二十二條及第一百三十八條條文修正草案,86委16986,李俊俋,李俊俋,1,15,0,民進黨,區域立委
803575,1020409,陸海空軍軍官士官服役條例第三十二條、第三十二條之一及第三十二條之二條文修正草案,1061委14800,李俊俋,李俊俋,1,15,63,民進黨,區域立委
803694,1040529,勞工保險條例第六十三條條文修正草案,468委17817,李俊俋,李俊俋,1,15,10,民進黨,區域立委
804132,1040612,菸害防制法第三十一條條文修正草案,1462委17934,李俊俋,李俊俋,1,15,1,民進黨,區域立委
804378,1021206,道路交通管理處罰條例第二十一條條文修正草案,756委15773,李俊俋,李俊俋,1,15,158,民進黨,區域立委
804705,1011228,審計法第三十四條條文修正草案,215委14533,李俊俋,李俊俋,1,15,26,民進黨,區域立委
805071,1020111,總統副總統選舉罷免法第一條及第一百十六條條文修正草案,1679委14625,李俊俋,李俊俋,1,15,57,民進黨,區域立委
805419,1021220,關稅法第八十一條及第八十三條條文修正草案,635委15903,李俊俋,李俊俋,1,15,14,民進黨,區域立委
803008,1040515,動物用藥品管理法第三十三條及第三十五條條文修正草案,810委17727,李貴敏,李貴敏,1,15,1,國民黨,不分區立委
802378,1031107,建築法第十條、第六十八條及第七十七條之二條文修正草案,820委17177,李慶華,李慶華,1,15,1,國民黨,區域立委
802566,1031014,食品安全衛生管理法部分條文修正草案,1722委17050,李慶華,李慶華,1,15,454,國民黨,區域立委
800091,1030314,土地稅法第九條條文修正草案,委16102,李應元,李應元,1,15,28,民進黨,不分區立委
800173,1030530,工會法第四條條文修正草案,委16921,李應元,李應元,1,15,5,民進黨,不分區立委
800195,1031003,不動產證券化條例部分條文修正草案,委17038,李應元,李應元,1,15,1,民進黨,不分區立委
800233,1040116,中華民國刑法刪除第一百四十條條文草案,委17454,李應元,李應元,1,15,26,民進黨,不分區立委
800843,1040116,公職人員選舉罷免法增訂第八十條之一條文草案,委17453,李應元,李應元,1,15,440,民進黨,不分區立委
